words,links,capital_words,spam_word_count,is_spam
135,0,3,0,1
165,4,3,1,0
702,2,4,7,1
515,3,14,10,1
200,3,2,0,0
214,1,2,1,0
214,0,7,1,0
349,3,6,10,1
232,0,4,8,1
99,0,0,2,0
614,0,16,5,1
275,2,0,2,0
96,1,10,1,0
269,1,3,3,0
174,0,2,1,0
927,8,9,9,1
134,2,3,2,0
432,9,14,3,1
865,4,1,10,1
184,5,27,10,1
180,5,7,10,1
192,0,17,7,1
306,5,8,0,0
490,5,7,7,1
324,8,19,10,1
517,2,18,10,1
930,0,8,7,1
147,0,0,1,0
159,2,6,8,1
288,7,18,3,1
53,0,1,1,0
113,3,3,1,0
78,2,3,2,0
149,2,0,1,0
346,0,2,9,1
137,4,2,0,0
58,0,2,2,0
50,2,6,8,1
266,1,1,0,0
274,4,0,2,0
82,1,3,2,0
723,2,3,5,1
161,4,4,1,1
290,0,1,0,0
413,8,28,4,1
469,0,10,3,1
185,0,3,1,0
78,6,17,6,1
349,10,25,6,1
76,1,15,4,1
707,3,23,8,1
199,2,0,4,1
754,2,12,5,1
129,6,20,1,1
103,0,1,0,0
33,1,2,1,0
200,2,3,0,0
614,9,19,7,1
753,8,11,8,1
254,0,1,2,0
221,0,6,1,0
84,3,7,2,0
275,2,2,2,0
304,0,4,1,0
205,2,1,2,0
61,1,2,1,0
156,1,0,1,0
102,2,5,10,1
68,1,1,6,0
273,2,3,1,0
405,1,1,2,0
205,1,2,0,0
165,0,3,1,0
267,1,4,1,0
167,0,9,1,0
159,1,2,1,0
232,1,0,1,0
245,0,1,2,0
156,1,1,1,0
551,0,21,8,1
177,0,0,0,0
286,1,10,2,0
91,0,3,0,0
296,0,0,5,0
283,0,2,2,0
178,0,0,1,0
275,1,1,2,0
476,10,11,8,1
645,6,3,8,1
166,0,9,0,0
82,3,26,9,1
278,4,1,3,0
409,2,15,3,1
220,3,13,3,1
539,4,4,3,1
194,8,5,8,1
215,0,0,0,0
169,9,12,8,1
997,6,6,7,1
55,2,10,5,0
750,2,13,6,1
100,2,0,2,0
631,6,22,0,1
53,0,0,1,0
159,5,0,2,0
653,6,21,2,1
244,6,6,3,1
768,5,18,3,1
176,1,1,2,0
955,6,10,8,1
119,0,27,7,1
114,4,6,7,1
168,1,0,1,0
42,2,3,1,0
405,1,3,2,0
293,10,19,2,1
284,2,3,1,0
623,4,25,3,1
857,2,25,0,1
341,2,19,8,1
933,8,0,3,1
209,1,2,0,0
532,9,15,10,1
521,4,14,8,1
80,0,30,2,1
791,3,22,7,1
158,2,4,1,0
256,0,1,1,0
456,5,13,2,1
84,2,1,2,0
142,3,26,9,1
869,10,8,3,1
158,2,2,1,0
408,2,21,0,1
81,5,23,3,1
253,0,3,0,0
253,0,0,2,0
30,1,3,0,0
185,1,2,2,0
146,5,10,5,0
475,4,15,8,1
287,1,8,2,0
49,2,3,2,0
114,8,0,3,1
959,2,30,6,1
183,9,5,9,1
180,9,3,10,1
333,1,5,10,1
253,2,0,0,0
262,1,2,5,0
490,1,2,6,0
224,1,0,2,0
866,7,5,8,1
385,4,2,6,1
188,9,12,6,1
244,2,2,2,0
444,8,0,6,1
505,10,3,6,1
182,2,0,5,0
358,0,21,6,1
288,5,3,0,0
106,5,3,1,0
277,1,6,4,1
145,2,2,0,0
203,0,2,6,0
560,5,0,4,1
216,10,24,3,1
344,1,0,0,0
28,1,2,0,0
281,1,3,0,0
191,6,10,9,1
213,0,4,0,0
879,0,12,1,1
532,4,26,3,1
185,1,0,7,1
224,1,3,0,0
188,2,22,6,1
676,5,24,5,1
493,3,1,4,0
419,8,8,6,1
323,9,20,7,1
292,2,3,0,0
64,1,4,2,0
188,1,0,2,0
594,6,19,3,1
257,1,8,0,0
62,1,18,2,1
112,2,2,0,0
82,6,22,1,1
131,7,20,10,1
126,1,2,1,0
1000,0,30,6,1
916,6,22,7,1
194,0,3,5,0
38,2,6,1,0
172,2,8,4,0
476,8,18,9,1
80,0,2,6,0
284,9,26,0,1
638,9,1,6,1
217,2,10,0,0
78,8,17,10,1
881,5,26,4,1
235,1,3,2,0
496,1,0,0,0
326,1,2,0,0
343,10,21,9,1
888,8,5,6,1
208,2,0,2,0
78,1,3,1,0
872,10,17,8,1
380,1,0,1,0
846,3,22,7,1
212,0,0,2,0
93,2,1,2,0
59,1,0,1,0
348,6,1,7,1
205,7,13,7,1
77,2,5,3,1
162,7,30,10,1
230,3,14,7,1
955,5,11,5,1
260,1,0,2,0
141,0,1,1,0
608,10,8,6,1
493,4,30,2,1
438,1,1,1,0
748,10,17,1,1
296,2,1,2,0
102,6,19,7,1
869,5,5,3,1
96,1,0,2,0
665,9,15,8,1
210,0,1,1,0
108,4,16,9,1
196,10,1,8,1
35,2,3,0,0
253,3,18,7,1
613,8,15,4,1
151,1,2,6,0
233,5,1,2,0
177,2,13,8,1
688,8,6,1,1
220,1,3,0,0
184,0,18,5,1
237,3,1,0,0
560,3,22,9,1
764,6,14,10,1
291,1,1,2,0
219,2,7,1,0
174,1,28,6,1
982,6,8,8,1
67,1,3,1,0
148,2,7,1,0
158,9,12,7,1
292,1,0,1,0
715,2,14,7,1
140,2,14,2,1
236,1,19,3,1
220,2,1,1,0
231,1,2,6,0
307,9,17,4,1
217,0,1,1,0
745,10,18,6,1
69,0,3,1,0
259,0,0,1,0
993,5,18,5,1
953,8,14,3,1
285,2,3,1,0
218,2,0,4,0
66,2,29,3,1
965,3,14,8,1
524,2,11,4,1
79,0,3,2,0
489,5,28,0,1
206,0,0,0,0
738,4,28,7,1
36,2,1,3,0
237,0,6,0,0
277,3,0,1,0
753,4,0,2,1
139,1,0,1,0
112,2,6,0,0
376,0,7,5,1
146,2,10,2,0
95,6,8,7,1
101,0,1,1,0
226,3,19,4,1
143,4,0,8,1
753,1,5,3,1
941,5,16,4,1
434,0,1,4,0
299,1,2,2,0
110,4,29,8,1
590,5,5,8,1
481,7,6,4,1
182,1,0,1,0
58,1,3,1,0
241,0,0,3,0
272,5,20,5,1
130,3,13,5,1
250,1,3,2,0
250,10,29,5,1
22,1,1,2,0
109,2,1,2,0
265,0,4,3,0
262,5,6,0,1
266,2,5,4,0
297,10,22,7,1
116,9,28,9,1
393,5,8,10,1
935,4,10,8,1
241,4,5,6,1
197,1,10,0,0
73,1,1,2,0
368,2,26,9,1
343,5,0,4,1
549,1,18,7,1
451,2,18,7,1
990,4,2,3,1
839,6,0,8,1
184,2,3,1,0
123,3,5,4,1
237,1,1,1,0
131,0,2,0,0
640,3,16,2,1
120,0,2,0,0
350,6,1,7,1
731,10,3,0,1
872,7,1,10,1
299,9,2,3,1
164,2,0,8,1
776,7,28,7,1
65,2,2,2,0
156,8,24,2,1
80,10,25,7,1
612,10,20,4,1
744,7,17,0,1
110,1,2,5,0
143,4,5,4,1
294,7,27,3,1
170,2,11,10,1
560,1,3,8,1
552,4,23,9,1
171,4,1,6,1
207,2,9,2,0
38,1,3,2,0
991,5,26,3,1
65,1,5,2,0
167,2,0,1,0
189,0,2,0,0
275,9,3,5,1
170,6,25,1,1
81,0,0,1,0
338,6,25,4,1
97,2,1,1,0
639,3,17,3,1
341,6,28,6,1
28,0,0,2,0
63,0,17,4,1
197,2,3,5,0
248,3,19,6,1
33,1,1,1,0
106,10,11,10,1
311,9,29,3,1
352,0,3,0,0
153,2,3,1,0
440,3,25,0,1
223,2,0,0,0
356,10,17,4,1
250,10,0,4,1
225,2,27,10,1
421,2,3,0,0
155,2,8,1,0
55,4,10,10,1
214,0,2,3,0
108,6,9,2,1
761,5,29,7,1
173,1,7,2,1
245,5,2,0,0
170,5,21,6,1
247,0,2,5,0
759,8,11,8,1
136,0,6,2,0
33,0,1,1,0
422,5,1,0,0
837,5,2,6,1
290,0,9,3,0
64,3,27,3,1
228,1,0,0,0
245,0,2,3,0
477,10,15,8,1
130,2,0,0,0
559,4,19,4,1
385,3,25,8,1
220,0,2,2,0
871,8,5,4,1
643,5,27,6,1
425,1,0,0,0
46,1,3,6,0
99,4,2,0,0
814,0,7,9,1
429,2,2,1,0
720,5,12,2,1
46,2,1,0,0
151,0,0,5,0
230,0,2,5,0
908,3,10,5,1
127,0,3,6,0
232,0,3,1,0
223,1,3,1,0
38,1,2,1,0
144,8,27,10,1
703,4,6,10,1
438,2,3,2,0
195,2,0,0,0
289,9,4,10,1
79,0,8,6,0
33,2,1,1,0
247,2,0,0,0
149,1,0,1,0
20,3,2,1,0
95,1,3,1,0
935,8,12,5,1
78,0,1,2,0
338,2,2,0,0
961,2,23,6,1
83,4,2,0,0
295,2,1,3,0
696,6,7,4,1
662,4,13,8,1
207,0,9,1,0
300,5,3,6,1
43,0,5,1,0
889,9,11,6,1
169,8,25,9,1
83,0,3,2,0
825,5,5,0,1
238,1,6,2,0
160,9,20,0,1
68,1,3,0,0
80,2,3,0,0
579,3,9,7,1
227,2,4,1,0
911,3,17,4,1
253,2,0,1,0
308,1,3,6,0
157,2,16,10,1
170,0,3,1,0
128,5,4,3,1
183,4,2,3,0
616,3,8,7,1
178,1,2,2,0
179,2,20,0,1
208,0,0,1,0
198,4,27,10,1
31,1,0,0,0
139,6,3,7,1
226,0,2,2,0
109,2,17,6,1
213,0,0,2,0
242,2,2,2,0
848,8,0,3,1
207,2,2,2,0
345,2,8,6,1
958,2,19,4,1
191,2,1,4,1
592,7,3,3,1
289,2,3,0,0
27,1,2,2,0
613,6,5,9,1
164,1,2,5,0
735,7,16,2,1
213,2,8,1,0
893,1,26,8,1
210,10,21,4,1
83,2,23,3,1
150,0,3,2,0
151,4,10,1,0
182,2,15,8,1
169,0,4,1,0
24,4,0,5,0
200,4,0,2,0
743,3,4,1,1
610,1,8,7,1
199,2,8,2,0
230,2,1,1,0
137,2,2,2,0
152,3,20,2,1
632,5,29,5,1
78,2,3,2,0
992,2,7,1,1
928,6,10,9,1
386,0,0,1,0
177,2,1,0,0
678,3,22,3,1
295,0,1,0,0
60,6,7,8,1
208,0,3,4,0
217,2,3,2,0
138,7,28,4,1
73,0,3,1,0
573,5,27,4,1
423,10,5,6,1
55,3,26,7,1
695,3,25,10,1
250,4,19,5,1
160,3,2,9,1
257,4,3,1,0
523,10,19,10,1
232,6,29,9,1
274,1,3,1,0
164,2,0,0,0
282,4,26,6,1
242,0,3,0,0
846,2,23,1,1
113,10,9,6,1
184,2,1,1,0
66,3,18,8,1
855,7,22,4,1
158,1,3,0,0
244,9,4,10,1
221,1,2,0,0
167,0,2,0,0
679,3,16,5,1
71,1,24,9,1
68,0,1,2,0
186,5,5,9,1
236,2,1,2,0
555,2,17,3,1
56,2,3,0,0
133,3,20,1,1
54,1,1,6,0
602,10,16,6,1
148,2,1,1,0
156,2,3,2,0
304,1,7,0,0
141,1,1,1,0
196,0,3,4,0
50,1,1,0,0
412,9,22,10,1
739,5,5,5,1
632,0,24,4,1
45,0,1,2,0
616,2,13,6,1
749,8,26,9,1
415,3,19,9,1
128,2,2,2,0
938,6,0,9,1
489,1,4,5,1
144,0,2,2,0
121,8,10,8,1
530,10,21,7,1
410,0,0,2,0
242,4,0,1,0
265,4,2,0,0
303,4,0,1,0
142,9,3,5,1
427,1,1,5,0
299,0,8,0,0
114,10,28,9,1
222,4,3,2,0
104,2,3,0,0
428,3,25,0,1
208,5,3,0,0
149,3,1,2,0
375,1,6,1,0
286,2,1,2,0
367,3,2,2,0
140,8,25,7,1
261,1,2,2,0
202,0,3,2,0
72,2,1,2,0
865,10,5,6,1
725,8,3,9,1
849,7,0,4,1
195,2,3,0,0
601,8,5,9,1
325,9,11,5,1
892,7,24,8,1
205,4,3,3,1
159,3,0,2,0
196,1,1,2,0
206,1,1,2,0
127,3,24,5,1
961,7,1,4,1
834,0,9,6,1
165,5,23,0,1
105,1,3,5,0
129,2,21,7,1
228,1,0,0,0
277,1,10,0,0
637,5,8,10,1
181,2,2,0,0
517,6,19,4,1
69,3,29,3,1
396,8,24,2,1
505,4,25,6,1
745,2,5,7,1
275,2,0,0,0
157,1,1,1,0
240,1,2,1,0
115,10,29,8,1
580,3,26,3,1
247,2,0,1,0
121,5,3,0,0
269,2,3,2,0
317,0,1,1,0
90,4,27,10,1
600,5,24,8,1
270,2,3,1,0
276,4,3,1,0
118,3,23,1,1
50,10,0,4,1
153,2,10,5,0
874,1,1,5,1
510,4,21,9,1
298,3,22,8,1
289,0,0,0,0
119,2,3,1,0
728,2,22,3,1
351,1,0,0,0
468,7,20,0,1
219,4,0,2,0
78,2,0,1,0
222,1,2,0,0
415,6,29,6,1
161,3,3,0,0
216,1,0,5,0
69,0,2,2,0
214,2,0,6,0
750,6,21,2,1
423,1,0,0,0
925,3,23,2,1
202,1,1,1,0
295,4,3,0,0
644,2,16,2,1
724,6,0,10,1
871,3,10,8,1
281,1,4,2,0
137,2,16,8,1
214,5,29,4,1
163,0,3,4,0
179,9,29,3,1
333,4,3,3,1
443,1,28,6,1
923,4,20,5,1
250,0,2,2,0
336,4,2,0,0
263,2,3,0,0
149,1,0,0,0
842,2,16,4,1
42,2,1,0,0
363,1,1,2,0
294,2,3,0,0
297,0,2,2,0
495,10,30,10,1
867,1,3,4,1
181,1,4,3,0
881,2,15,6,1
944,7,0,4,1
447,10,5,4,1
134,9,2,8,1
185,4,26,2,1
734,5,20,5,1
737,2,22,1,1
168,3,6,0,1
134,4,29,7,1
235,0,1,3,0
454,2,0,5,0
186,2,5,6,1
117,1,3,2,0
495,1,1,3,0
302,0,11,7,1
264,7,3,9,1
394,3,22,0,1
896,3,17,8,1
95,1,3,1,0
255,0,24,10,1
176,3,12,3,1
325,6,3,8,1
67,0,6,5,0
289,0,0,2,0
644,2,23,6,1
150,1,10,1,0
190,6,13,6,1
363,5,11,5,1
199,2,14,6,1
670,2,13,10,1
132,5,3,1,0
188,7,10,7,1
869,7,12,0,1
872,7,11,7,1
255,4,1,4,0
41,2,0,2,0
275,1,0,0,0
701,1,23,7,1
123,7,3,3,1
226,0,0,4,0
80,1,3,2,0
265,2,6,6,0
189,2,26,1,1
130,2,11,3,1
264,1,4,1,0
72,9,25,3,1
278,0,1,4,0
440,4,4,2,0
85,0,2,1,0
230,0,3,2,0
66,1,10,2,0
64,0,0,2,0
933,6,14,9,1
53,2,16,6,1
195,1,0,0,0
967,3,28,3,1
121,10,30,5,1
119,0,3,1,0
89,2,1,0,0
471,2,9,6,1
111,2,0,2,0
716,0,2,6,1
368,2,16,2,1
266,1,3,0,0
595,0,27,6,1
277,0,1,1,0
409,5,16,2,1
173,2,3,0,0
79,4,20,3,1
217,1,1,2,0
382,1,14,0,1
630,8,27,5,1
362,8,23,8,1
174,4,0,1,0
438,8,26,8,1
933,3,29,4,1
631,2,30,4,1
285,1,2,1,0
872,5,0,10,1
140,0,2,1,0
60,1,2,2,0
217,2,1,1,0
155,9,30,1,1
127,0,2,2,0
37,0,1,2,0
207,0,3,1,0
200,0,0,2,0
894,4,11,2,1
272,0,1,2,0
239,2,26,10,1
558,3,5,0,1
151,1,2,1,0
221,1,4,1,0
730,4,15,0,1
94,0,0,0,0
273,1,1,2,0
352,2,0,5,0
948,8,2,8,1
293,6,27,10,1
282,1,1,1,0
66,3,26,9,1
504,2,29,7,1
333,2,0,2,0
402,2,3,2,0
577,4,27,9,1
118,7,24,7,1
477,2,29,3,1
431,6,15,9,1
81,6,3,2,1
207,7,25,8,1
149,3,5,10,1
568,8,20,0,1
121,0,9,6,0
217,8,0,10,1
792,4,1,4,1
149,1,3,2,0
137,2,30,10,1
869,5,24,3,1
287,2,4,0,0
427,3,3,0,0
181,0,4,1,0
606,10,17,7,1
297,5,6,2,1
985,3,10,3,1
395,0,0,3,0
507,3,3,10,1
98,8,16,2,1
364,10,11,1,1
909,9,12,7,1
242,1,0,0,0
183,2,0,1,0
484,9,7,10,1
25,4,0,5,0
283,0,0,1,0
129,3,14,3,1
39,1,0,0,0
242,2,3,5,0
183,2,9,0,0
144,2,3,1,0
299,0,2,0,0
217,8,24,2,1
180,5,10,0,0
120,2,21,3,1
708,3,7,8,1
574,9,1,5,1
155,4,15,10,1
191,6,19,8,1
937,2,10,7,1
345,0,1,1,0
850,6,4,3,1
256,2,8,10,1
125,2,2,2,0
31,0,8,4,0
83,1,1,0,0
181,2,3,1,0
806,7,19,3,1
291,1,3,1,0
196,0,1,0,0
451,2,19,3,1
97,1,2,0,0
136,9,10,3,1
111,2,0,3,0
174,5,6,2,0
138,0,0,2,0
218,2,2,0,0
167,0,2,1,0
64,1,2,2,0
169,0,2,1,0
100,2,1,2,0
611,4,21,5,1
853,10,18,3,1
159,2,1,2,0
293,1,3,0,0
283,3,3,0,0
459,2,7,8,1
81,2,1,2,0
543,5,2,5,1
213,2,9,1,0
460,3,15,4,1
213,2,1,1,0
223,1,0,5,0
98,2,0,2,0
314,0,2,0,0
226,0,3,0,0
311,1,8,5,1
99,2,21,7,1
64,9,21,5,1
257,2,2,2,0
127,5,23,10,1
249,9,4,6,1
165,1,2,0,0
426,1,0,0,0
808,5,4,4,1
475,2,1,1,0
108,1,3,2,0
167,0,0,1,0
269,5,2,1,0
794,2,6,9,1
56,2,2,1,0
28,0,1,0,0
223,0,0,2,0
236,8,19,7,1
278,2,3,1,0
912,9,5,9,1
305,1,5,7,1
218,0,1,6,1
296,2,28,9,1
189,2,2,2,0
226,3,5,5,1
48,2,0,5,0
202,1,3,0,0
180,10,23,6,1
816,0,28,10,1
142,0,0,2,0
658,3,16,10,1
862,3,2,4,1
260,0,3,5,0
846,0,4,4,1
243,1,3,2,0
57,1,2,0,0
25,2,7,0,0
741,2,21,8,1
110,1,18,9,1
957,1,9,2,1
333,7,14,7,1
635,2,9,6,1
216,1,0,1,0
140,8,15,5,1
132,3,8,5,1
902,7,9,1,1
912,10,5,0,1
111,1,1,1,0
980,2,9,9,1
885,1,25,4,1
160,1,2,2,0
455,1,3,0,0
262,2,2,2,0
30,0,1,1,0
128,2,8,3,1
298,0,1,1,0
289,1,2,0,0
510,4,24,9,1
895,5,21,4,1
312,2,2,2,0
984,6,20,4,1
314,5,15,7,1
234,1,0,5,0
909,8,13,7,1
228,1,0,2,0
139,8,2,0,1
456,7,24,9,1
101,8,29,7,1
37,1,3,2,0
689,10,21,1,1
552,0,13,4,1
241,2,19,3,1
193,6,1,8,1
40,1,5,0,0
272,1,0,0,0
272,1,3,0,0
199,4,24,8,1
528,2,12,0,1
699,7,7,6,1
257,2,1,0,0
192,3,13,5,1
88,9,27,6,1
168,2,7,2,0
275,0,1,0,0
710,9,14,0,1
363,2,0,0,0
125,2,0,2,0
197,0,3,0,0
294,4,15,9,1
630,6,22,4,1
132,1,2,1,0
195,2,0,1,0
574,10,21,7,1
681,7,22,1,1
80,9,8,8,1
491,3,2,2,0
209,0,2,2,0
679,10,7,6,1
930,0,5,7,1
188,2,9,3,0
71,2,0,2,0
252,9,29,3,1
723,8,30,6,1
274,2,2,5,1
221,7,1,6,1
187,2,0,2,0
121,7,5,8,1
94,3,2,2,0
179,0,3,0,0
889,3,20,7,1
240,1,1,1,0
905,4,11,8,1
548,5,2,10,1
107,2,0,2,0
232,2,4,2,0
168,4,2,1,0
211,1,0,0,0
141,10,29,5,1
56,0,2,1,0
308,4,1,1,1
776,3,30,3,1
265,2,2,4,0
672,5,13,10,1
333,2,2,4,0
340,1,3,6,0
25,2,3,1,0
60,0,2,1,0
186,2,2,2,0
127,2,0,4,0
396,4,11,7,1
510,2,27,3,1
383,8,0,0,1
334,3,27,6,1
474,1,2,2,0
138,2,11,3,1
384,2,1,0,0
231,9,22,5,1
378,2,2,1,0
268,4,1,1,0
269,0,15,5,1
278,5,2,0,0
180,7,21,4,1
42,2,3,2,0
720,7,8,10,1
251,2,2,2,0
212,5,1,3,0
332,7,5,6,1
121,1,2,3,0
429,1,2,2,0
256,2,3,2,0
868,10,16,5,1
50,4,1,1,0
182,1,0,0,0
229,0,4,6,0
116,10,25,7,1
282,4,26,6,1
165,1,10,1,0
285,0,0,2,0
50,0,1,2,0
299,1,2,0,0
248,0,5,4,0
163,2,3,0,0
203,2,3,1,0
491,3,3,1,0
57,5,12,7,1
48,0,0,1,0
158,6,19,1,1
211,1,0,2,0
28,4,0,0,0
235,10,5,2,1
452,4,20,5,1
760,2,24,3,1
44,2,2,0,0
217,1,22,4,1
359,0,1,6,1
283,3,11,9,1
174,1,2,3,0
100,1,0,1,0
239,4,5,2,1
57,7,5,1,1
280,0,2,6,0
223,7,21,3,1
79,4,25,6,1
868,7,3,9,1
66,2,0,6,0
457,6,26,10,1
155,2,17,5,1
85,9,7,3,1
733,3,0,5,1
469,4,3,5,1
204,1,1,3,0
247,0,1,2,0
691,7,26,10,1
174,1,4,2,0
314,6,26,10,1
575,5,27,4,1
124,9,7,6,1
409,10,25,4,1
128,2,1,3,1
330,10,10,5,1
124,4,1,5,1
922,6,7,10,1
589,2,3,10,1
219,1,2,2,0
874,8,5,8,1
125,1,0,0,0
101,4,0,5,1
124,2,0,8,1
122,1,3,1,0
162,4,25,6,1
294,0,2,1,0
99,0,1,1,0
22,0,3,3,0
34,2,1,0,0
250,9,4,2,1
696,6,28,8,1
238,0,2,2,0
55,0,6,2,0
929,7,19,1,1
249,0,2,4,0
283,0,2,0,0
818,4,11,4,1
949,8,19,9,1
188,2,1,2,0
209,0,2,1,0
832,4,25,7,1
742,6,23,6,1
819,3,28,0,1
82,0,24,6,1
178,0,9,3,0
30,0,1,1,0
451,10,30,6,1
406,0,1,0,0
469,7,2,10,1
302,2,2,2,0
199,0,2,4,0
160,8,6,1,1
884,4,5,8,1
673,1,19,3,1
187,5,23,10,1
125,1,27,4,1
988,6,0,3,1
820,10,5,9,1
84,2,0,3,1
171,4,8,2,0
175,2,2,2,0
260,5,2,2,0
616,7,5,4,1
457,2,1,2,0
717,5,30,4,1
302,6,21,8,1
277,1,2,4,0
384,1,12,6,1
52,3,0,2,0
153,2,29,4,1
550,4,19,4,1
268,2,1,1,0
63,1,2,0,0
212,4,1,10,1
160,0,3,2,0
658,6,27,10,1
98,0,8,1,0
192,3,9,9,1
736,5,29,9,1
195,4,0,2,0
231,1,3,6,0
420,0,11,4,1
109,1,3,0,0
261,6,5,5,1
129,7,18,2,1
849,0,30,2,1
307,7,7,3,1
166,2,0,1,0
492,10,5,3,1
244,5,7,3,1
710,0,26,4,1
299,2,6,7,1
216,0,2,2,0
891,9,28,0,1
292,1,3,1,0
79,2,3,6,0
741,3,13,10,1
58,3,1,10,1
794,2,11,9,1
284,1,1,0,0
118,5,30,7,1
187,0,2,2,0
282,1,0,0,0
153,5,10,0,0
880,8,24,10,1
621,10,28,2,1
193,1,1,1,0
51,3,3,0,0
816,0,20,7,1
136,0,1,2,0
661,4,21,4,1
781,8,16,7,1
148,3,0,1,0
174,2,2,2,0
630,5,5,4,1
215,5,2,5,0
73,8,11,9,1
271,4,4,2,0
392,7,10,2,1
297,0,1,2,0
295,0,3,1,0
545,7,19,3,1
732,6,27,7,1
168,1,2,0,0
191,1,1,2,0
30,1,2,2,0
744,2,23,0,1
130,2,0,2,0
140,0,3,2,0
426,1,3,1,0
285,0,1,0,0
452,10,3,4,1
